,id,Apt_id,url,Address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
0,0,4197,https://junehomes.com/residences/boston-ma/malden/1459-malden/4197,malden/1459-malden/4197,5,1,800,145,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
1,1,4198,https://junehomes.com/residences/boston-ma/malden/1459-malden/4198,malden/1459-malden/4198,5,1,800,143,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
2,2,4404,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4404,brighton/1524-brighton/4404,5,2,800,81,2022-12-05,2023-01-04,"This 81 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
3,3,4284,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4284,brighton/1487-brighton/4284,5,2,800,100,2022-12-05,2023-01-04,"This 100 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
4,4,4281,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4281,brighton/1487-brighton/4281,5,2,825,122,2022-12-05,2023-01-04,"This 122 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
5,5,4280,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4280,brighton/1487-brighton/4280,5,2,825,111,2022-12-05,2023-01-04,"This 111 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
6,6,4334,https://junehomes.com/residences/boston-ma/allston/1505-brighton/4334,allston/1505-brighton/4334,7,2,850,98,2022-12-05,2023-01-04,"This 98 square footage room on Boston's Allston is a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
7,7,4592,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4592,somerville/1594-somerville/4592,7,1,850,130,2022-12-05,2023-01-04,"This 130 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
8,8,4403,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4403,brighton/1524-brighton/4403,5,2,850,110,2022-12-05,2023-01-04,"This 110 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
9,9,4590,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4590,somerville/1594-somerville/4590,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
10,10,4594,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4594,somerville/1594-somerville/4594,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
11,11,3034,https://junehomes.com/residences/boston-ma/jfk/1043-jfkumass/3034,jfk/1043-jfkumass/3034,5,1,875,108,2022-12-05,2023-01-04,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
12,12,4595,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4595,somerville/1594-somerville/4595,7,1,875,153,2022-12-05,2023-01-04,"This 153 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
13,13,4593,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4593,somerville/1594-somerville/4593,7,1,875,153,2022-12-05,2023-01-04,"This 153 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
