,id,Amenities
0,0,"WiFi (Paid), Smoke-free, Guarantors allowed, Radiator heating, Laundry in building (paid), Street parking"
1,1,"WiFi (Paid), Smoke-free, Guarantors allowed, Radiator heating, Laundry in building (paid), Street parking"
2,2,"Paid parking, Dishwasher, Radiator heating, Dining area, Smoke-free, Guarantors allowed, Laundry in home (free), Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
3,3,"Dining area, WiFi (Paid), Smoke-free, Guarantors allowed, Laundry in building (paid), Street parking, 32-inch Flat-Screen TV, Radiator heating, Dishwasher, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
4,4,"Dining area, WiFi (Paid), Smoke-free, Guarantors allowed, Laundry in building (paid), Street parking, 32-inch Flat-Screen TV, Radiator heating, Dishwasher, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
5,5,"Dining area, WiFi (Paid), Smoke-free, Guarantors allowed, Laundry in building (paid), Street parking, 32-inch Flat-Screen TV, Radiator heating, Dishwasher, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
6,6,"Laundry in building (paid), 32-inch Flat-Screen TV, Dishwasher, WiFi (Paid), Smoke-free, Guarantors allowed, Radiator heating, Dine in kitchen, Living area, Parking Spot (Paid), Hardwood floors, Microwave, Oven, Refrigerator"
7,7,"Paid parking, Smoke-free, Guarantors allowed, Laundry in building (paid), Dine in kitchen, Electric heating, Hardwood floors, Microwave, Oven, Refrigerator"
8,8,"Paid parking, Dishwasher, Radiator heating, Dining area, Smoke-free, Guarantors allowed, Laundry in home (free), Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
9,9,"Paid parking, Smoke-free, Guarantors allowed, Laundry in building (paid), Dine in kitchen, Electric heating, Hardwood floors, Microwave, Oven, Refrigerator"
10,10,"Paid parking, Smoke-free, Guarantors allowed, Laundry in building (paid), Dine in kitchen, Electric heating, Hardwood floors, Microwave, Oven, Refrigerator"
