,id,Trans_id,stations,color,walktime,description
0,0,0,",Blue,Line",#2040AA,2,Maverick
1,0,1,",114,116,117,120,121",#F5C00E,2,Maverick
2,1,0,",Blue,Line",#2040AA,2,Maverick
3,1,1,",114,116,117,120,121",#F5C00E,2,Maverick
4,2,0,",57,501",#F5C00E,5,Tremont St @ Washington St
5,2,1,",64",#F5C00E,5,Faneuil St @ Bigelow St
6,3,0,",64",#F5C00E,6,Brooks St @ Faneuil St
7,3,1,",57,501",#F5C00E,8,Washington St @ Foster St
8,3,2,",86",#F5C00E,9,Market St @ Sparhawk St
9,4,0,",64",#F5C00E,6,Brooks St @ Faneuil St
10,4,1,",57,501",#F5C00E,8,Washington St @ Foster St
11,4,2,",86",#F5C00E,9,Market St @ Sparhawk St
12,5,0,",64",#F5C00E,6,Brooks St @ Faneuil St
13,5,1,",57,501",#F5C00E,8,Washington St @ Foster St
14,5,2,",86",#F5C00E,9,Market St @ Sparhawk St
15,6,0,",B",#00843D,7,Allston Street
16,6,1,",Framingham/Worcester,Line",#80276c,10,Boston Landing
17,6,2,",51,57,66,501",f2bd2a,3,Cambridge St @ Barrows St
18,7,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
19,7,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
20,7,2,",101",#F5C00E,10,Main St @ Broadway
21,8,0,",57,501",#F5C00E,5,Tremont St @ Washington St
22,8,1,",64",#F5C00E,5,Faneuil St @ Bigelow St
23,9,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
24,9,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
25,9,2,",101",#F5C00E,10,Main St @ Broadway
26,10,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
27,10,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
28,10,2,",101",#F5C00E,10,Main St @ Broadway
29,11,0,",Red,LIne",#EC211F,8,JFK / UMass
30,11,1,",Greenbush/Kingston",#8E44AD,8,JFK / UMass
31,11,2,",Middleborough/Lakeville",#8E44AD,8,JFK / UMass
32,11,3,",8,16,41",#EB841E,8,JFK / UMass
33,11,4,",18",#EB841E,2,Dorchster Ave @ Howes St
34,12,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
35,12,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
36,12,2,",101",#F5C00E,10,Main St @ Broadway
37,13,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
38,13,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
39,13,2,",101",#F5C00E,10,Main St @ Broadway
40,14,0,",Fairmount/Franklin",#8E44AD,8,Uphams Corner
41,14,1,",Red,Line",#DA1721,15,JFK / UMass
42,14,2,",Greenbush/Kingston",#8E44AD,15,JFK / UMass
43,14,3,",Middleborough/Lakeville",#8E44AD,15,JFK / UMass
44,15,0,",57,501",#F5C00E,5,Tremont St opp Cufflin St
45,15,1,",64",#F5C00E,7,Faneuil St @ Bigelow St
46,16,0,",B",#00843D,7,Allston Street
47,16,1,",Framingham/Worcester,Line",#80276c,10,Boston Landing
48,16,2,",51,57,66,501",f2bd2a,3,Cambridge St @ Barrows St
49,17,0,",23",#F5C00E,1,Washington St @ Columbia Rd
50,17,1,",16,19",#F5C00E,1,Columbia Rd @ Washington St
51,17,2,",Franklin/Fairmount,Line",#80276c,3,Four Corners/Geneva
52,18,0,",57,501",#F5C00E,5,Tremont St @ Washington St
53,18,1,",64",#F5C00E,5,Faneuil St @ Bigelow St
54,19,0,",Franklin,Fairmount",#8E44AD,12,Morton Street
55,19,1,",28,29",#F5C00E,2,Blue Hill Ave @ Woodrow Ave
56,20,0,",Red,LIne",#EC211F,8,JFK / UMass
57,20,1,",Greenbush/Kingston",#8E44AD,8,JFK / UMass
58,20,2,",Middleborough/Lakeville",#8E44AD,8,JFK / UMass
59,20,3,",8,16,41",#EB841E,8,JFK / UMass
60,20,4,",18",#EB841E,2,Dorchster Ave @ Howes St
61,21,0,",Red,Line",#DA1721,6,JFK / UMass
62,21,1,",Greenbush/Kingston",#8E44AD,6,JFK / UMass
63,21,2,",Fairmount/Franklin",#8E44AD,15,Uphams Corner
64,21,3,",8,16,41",#F5C00E,6,JFK / UMass
65,22,0,",Red,Line",#EC211F,6,JFK / UMass
66,22,1,",Greenbush/Kingston",#8E44AD,6,JFK / UMass
67,22,2,",8,16,41",#F5C00E,6,JFK / UMass
68,22,3,",Fairmount/Franklin",#80276c,15,Uphams Corner
69,22,4,",17,18",#F5C00E,7,Boston St @ Mayhew St
70,23,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
71,23,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
72,23,2,",101",#F5C00E,10,Main St @ Broadway
73,24,0,",Framingham/Worcester,Line",#8E44AD,12,Boston Landing
74,24,1,",64,66,501",#F5C00E,1,Cambridge St @ Linden St
75,24,2,",57",#F5C00E,4,Brighton Ave @ Linden St
76,25,0,",Red,LIne",#EC211F,8,JFK / UMass
77,25,1,",Greenbush/Kingston",#8E44AD,8,JFK / UMass
78,25,2,",Middleborough/Lakeville",#8E44AD,8,JFK / UMass
79,25,3,",8,16,41",#EB841E,8,JFK / UMass
80,25,4,",18",#EB841E,2,Dorchster Ave @ Howes St
81,26,0,",Greenbush/Kingston",#8E44AD,1,JFK / UMass
82,26,1,",Red,Line",#DA1721,1,JFK / UMass
83,26,2,",Middleborough/Lakeville",#8E44AD,1,JFK / UMass
