id,Trans_id,stations,walktime,description
0,0,"Blue Line ",2,Maverick
0,1,114,2,Maverick
0,1,116,2,Maverick
0,1,117,2,Maverick
0,1,120,2,Maverick
0,1,121,2,Maverick
1,0,"Blue Line ",2,Maverick
1,1,114,2,Maverick
1,1,116,2,Maverick
1,1,117,2,Maverick
1,1,120,2,Maverick
1,1,121,2,Maverick
2,0,57,5,"Tremont St @ Washington St"
2,0,501,5,"Tremont St @ Washington St"
2,1,64,5,"Faneuil St @ Bigelow St"
3,0,64,6,"Brooks St @ Faneuil St"
3,1,57,8,"Washington St @ Foster St"
3,1,501,8,"Washington St @ Foster St"
3,2,86,9,"Market St @ Sparhawk St"
4,0,64,6,"Brooks St @ Faneuil St"
4,1,57,8,"Washington St @ Foster St"
4,1,501,8,"Washington St @ Foster St"
4,2,86,9,"Market St @ Sparhawk St"
5,0,64,6,"Brooks St @ Faneuil St"
5,1,57,8,"Washington St @ Foster St"
5,1,501,8,"Washington St @ Foster St"
5,2,86,9,"Market St @ Sparhawk St"
6,0,"B ",7,"Allston Street"
6,1,"Framingham/Worcester Line ",10,"Boston Landing"
6,2,51,3,"Cambridge St @ Barrows St"
6,2,57,3,"Cambridge St @ Barrows St"
6,2,66,3,"Cambridge St @ Barrows St"
6,2,501,3,"Cambridge St @ Barrows St"
7,0,80,1,"Medford St @ Glenwood Rd"
7,1,89,5,"Broadway @ Medford St - Magoun Sq"
7,1,89/93,5,"Broadway @ Medford St - Magoun Sq"
7,2,101,10,"Main St @ Broadway"
8,0,57,5,"Tremont St @ Washington St"
8,0,501,5,"Tremont St @ Washington St"
8,1,64,5,"Faneuil St @ Bigelow St"
9,0,80,1,"Medford St @ Glenwood Rd"
9,1,89,5,"Broadway @ Medford St - Magoun Sq"
9,1,89/93,5,"Broadway @ Medford St - Magoun Sq"
9,2,101,10,"Main St @ Broadway"
10,0,80,1,"Medford St @ Glenwood Rd"
10,1,89,5,"Broadway @ Medford St - Magoun Sq"
10,1,89/93,5,"Broadway @ Medford St - Magoun Sq"
10,2,101,10,"Main St @ Broadway"
11,0,"Red LIne ",8,"JFK / UMass"
11,1,"Greenbush/Kingston ",8,"JFK / UMass"
11,2,"Middleborough/Lakeville ",8,"JFK / UMass"
11,3,8,8,"JFK / UMass"
11,3,16,8,"JFK / UMass"
11,3,41,8,"JFK / UMass"
11,4,18,2,"Dorchster Ave @ Howes St"
12,0,80,1,"Medford St @ Glenwood Rd"
12,1,89,5,"Broadway @ Medford St - Magoun Sq"
