,id,Amenities
0,0,WiFi (Paid)
1,0,Smoke-free
2,0,Guarantors allowed
3,0,Radiator heating
4,0,Laundry in building (paid)
5,0,Street parking
6,1,WiFi (Paid)
7,1,Smoke-free
8,1,Guarantors allowed
9,1,Radiator heating
10,1,Laundry in building (paid)
11,1,Street parking
12,2,Paid parking
13,2,Dishwasher
14,2,Radiator heating
15,2,Dining area
16,2,Smoke-free
17,2,Guarantors allowed
18,2,Laundry in home (free)
19,2,Balcony
20,2,Living area
21,2,Hardwood floors
22,2,Microwave
23,2,Oven
24,2,Refrigerator
25,3,Dining area
26,3,WiFi (Paid)
27,3,Smoke-free
28,3,Guarantors allowed
29,3,Laundry in building (paid)
30,3,Street parking
31,3,32-inch Flat-Screen TV
32,3,Radiator heating
33,3,Dishwasher
34,3,Living area
35,3,Hardwood floors
36,3,Microwave
37,3,Oven
38,3,Refrigerator
39,4,Dining area
40,4,WiFi (Paid)
41,4,Smoke-free
42,4,Guarantors allowed
43,4,Laundry in building (paid)
44,4,Street parking
45,4,32-inch Flat-Screen TV
46,4,Radiator heating
47,4,Dishwasher
48,4,Living area
49,4,Hardwood floors
50,4,Microwave
51,4,Oven
52,4,Refrigerator
53,5,Dining area
54,5,WiFi (Paid)
55,5,Smoke-free
56,5,Guarantors allowed
57,5,Laundry in building (paid)
58,5,Street parking
59,5,32-inch Flat-Screen TV
60,5,Radiator heating
61,5,Dishwasher
62,5,Living area
63,5,Hardwood floors
64,5,Microwave
65,5,Oven
66,5,Refrigerator
67,6,Laundry in building (paid)
68,6,32-inch Flat-Screen TV
69,6,Dishwasher
70,6,WiFi (Paid)
71,6,Smoke-free
72,6,Guarantors allowed
73,6,Radiator heating
74,6,Dine in kitchen
75,6,Living area
76,6,Parking Spot (Paid)
77,6,Hardwood floors
78,6,Microwave
79,6,Oven
80,6,Refrigerator
81,7,Paid parking
82,7,Smoke-free
83,7,Guarantors allowed
84,7,Laundry in building (paid)
85,7,Dine in kitchen
86,7,Electric heating
87,7,Hardwood floors
88,7,Microwave
89,7,Oven
90,7,Refrigerator
91,8,Paid parking
92,8,Dishwasher
93,8,Radiator heating
94,8,Dining area
95,8,Smoke-free
96,8,Guarantors allowed
97,8,Laundry in home (free)
