,id,Transport
0,0,"[{'id': 0, 'stations': ['Blue', 'Line'], 'color': '#2040AA', 'walktime': 2, 'description': 'Maverick'}, {'id': 1, 'stations': ['114', '116', '117', '120', '121'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Maverick'}]"
1,1,"[{'id': 0, 'stations': ['Blue', 'Line'], 'color': '#2040AA', 'walktime': 2, 'description': 'Maverick'}, {'id': 1, 'stations': ['114', '116', '117', '120', '121'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Maverick'}]"
2,2,"[{'id': 0, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Tremont St @ Washington St'}, {'id': 1, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Faneuil St @ Bigelow St'}]"
3,3,"[{'id': 0, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 6, 'description': 'Brooks St @ Faneuil St'}, {'id': 1, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 8, 'description': 'Washington St @ Foster St'}, {'id': 2, 'stations': ['86'], 'color': '#F5C00E', 'walktime': 9, 'description': 'Market St @ Sparhawk St'}]"
4,4,"[{'id': 0, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 6, 'description': 'Brooks St @ Faneuil St'}, {'id': 1, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 8, 'description': 'Washington St @ Foster St'}, {'id': 2, 'stations': ['86'], 'color': '#F5C00E', 'walktime': 9, 'description': 'Market St @ Sparhawk St'}]"
5,5,"[{'id': 0, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 6, 'description': 'Brooks St @ Faneuil St'}, {'id': 1, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 8, 'description': 'Washington St @ Foster St'}, {'id': 2, 'stations': ['86'], 'color': '#F5C00E', 'walktime': 9, 'description': 'Market St @ Sparhawk St'}]"
6,6,"[{'id': 0, 'stations': ['B'], 'color': '#00843D', 'walktime': 7, 'description': 'Allston Street'}, {'id': 1, 'stations': ['Framingham/Worcester', 'Line'], 'color': '#80276c', 'walktime': 10, 'description': 'Boston Landing'}, {'id': 2, 'stations': ['51', '57', '66', '501'], 'color': 'f2bd2a', 'walktime': 3, 'description': 'Cambridge St @ Barrows St'}]"
7,7,"[{'id': 0, 'stations': ['80'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Medford St @ Glenwood Rd'}, {'id': 1, 'stations': ['89', '89/93'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Broadway @ Medford St - Magoun Sq'}, {'id': 2, 'stations': ['101'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Main St @ Broadway'}]"
8,8,"[{'id': 0, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Tremont St @ Washington St'}, {'id': 1, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Faneuil St @ Bigelow St'}]"
9,9,"[{'id': 0, 'stations': ['80'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Medford St @ Glenwood Rd'}, {'id': 1, 'stations': ['89', '89/93'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Broadway @ Medford St - Magoun Sq'}, {'id': 2, 'stations': ['101'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Main St @ Broadway'}]"
10,10,"[{'id': 0, 'stations': ['80'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Medford St @ Glenwood Rd'}, {'id': 1, 'stations': ['89', '89/93'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Broadway @ Medford St - Magoun Sq'}, {'id': 2, 'stations': ['101'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Main St @ Broadway'}]"
