id,Apt_id,url,address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
0,4197,https://junehomes.com/residences/boston-ma/malden/1459-malden/4197,malden,5,1,800,145,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
0,4197,https://junehomes.com/residences/boston-ma/malden/1459-malden/4197,1459-malden,5,1,800,145,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
0,4197,https://junehomes.com/residences/boston-ma/malden/1459-malden/4197,4197,5,1,800,145,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
1,4198,https://junehomes.com/residences/boston-ma/malden/1459-malden/4198,malden,5,1,800,143,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
1,4198,https://junehomes.com/residences/boston-ma/malden/1459-malden/4198,1459-malden,5,1,800,143,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
1,4198,https://junehomes.com/residences/boston-ma/malden/1459-malden/4198,4198,5,1,800,143,2022-12-05,2023-01-04,"This room may be unfurnished or furnished (additional fees apply) at the time of your move-in date. For up to date prices, please enter your move-in, move-out dates and your furnishing option."
2,4404,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4404,brighton,5,2,800,81,2022-12-05,2023-01-04,"This 81 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
2,4404,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4404,1524-brighton,5,2,800,81,2022-12-05,2023-01-04,"This 81 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
2,4404,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4404,4404,5,2,800,81,2022-12-05,2023-01-04,"This 81 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
3,4284,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4284,brighton,5,2,800,100,2022-12-05,2023-01-04,"This 100 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
3,4284,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4284,1487-brighton,5,2,800,100,2022-12-05,2023-01-04,"This 100 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
3,4284,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4284,4284,5,2,800,100,2022-12-05,2023-01-04,"This 100 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
4,4281,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4281,brighton,5,2,825,122,2022-12-05,2023-01-04,"This 122 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
4,4281,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4281,1487-brighton,5,2,825,122,2022-12-05,2023-01-04,"This 122 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
4,4281,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4281,4281,5,2,825,122,2022-12-05,2023-01-04,"This 122 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
5,4280,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4280,brighton,5,2,825,111,2022-12-05,2023-01-04,"This 111 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
5,4280,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4280,1487-brighton,5,2,825,111,2022-12-05,2023-01-04,"This 111 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
5,4280,https://junehomes.com/residences/boston-ma/brighton/1487-brighton/4280,4280,5,2,825,111,2022-12-05,2023-01-04,"This 111 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
6,4334,https://junehomes.com/residences/boston-ma/allston/1505-brighton/4334,allston,7,2,850,98,2022-12-05,2023-01-04,"This 98 square footage room on Boston's Allston is a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
6,4334,https://junehomes.com/residences/boston-ma/allston/1505-brighton/4334,1505-brighton,7,2,850,98,2022-12-05,2023-01-04,"This 98 square footage room on Boston's Allston is a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
6,4334,https://junehomes.com/residences/boston-ma/allston/1505-brighton/4334,4334,7,2,850,98,2022-12-05,2023-01-04,"This 98 square footage room on Boston's Allston is a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
7,4592,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4592,somerville,7,1,850,130,2022-12-05,2023-01-04,"This 130 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
7,4592,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4592,1594-somerville,7,1,850,130,2022-12-05,2023-01-04,"This 130 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
7,4592,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4592,4592,7,1,850,130,2022-12-05,2023-01-04,"This 130 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
8,4403,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4403,brighton,5,2,850,110,2022-12-05,2023-01-04,"This 110 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
8,4403,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4403,1524-brighton,5,2,850,110,2022-12-05,2023-01-04,"This 110 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
8,4403,https://junehomes.com/residences/boston-ma/brighton/1524-brighton/4403,4403,5,2,850,110,2022-12-05,2023-01-04,"This 110 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
9,4590,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4590,somerville,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
9,4590,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4590,1594-somerville,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
9,4590,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4590,4590,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
10,4594,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4594,somerville,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
10,4594,https://junehomes.com/residences/boston-ma/somerville/1594-somerville/4594,1594-somerville,7,1,850,125,2022-12-05,2023-01-04,"This 125 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
